Teff,logg,FeH,A,lambda0,b,n,W_lambda
5000,3.5,0.5,0.3192405081207845,4862.790002308289,19.99991260666938,0.5000000004185277,51.07825798173212
5000,3.5,-0.0,0.2752850669104337,4862.759990177797,19.350510771431637,0.5000065098087644,42.613674452516236
5000,3.5,-0.5,0.24417662105870153,4862.730000291721,14.422072992355197,0.5000723749364251,28.160664620038236
5000,4.0,0.5,0.30440555864181795,4862.813983251312,19.99999812828267,0.5000000000145445,48.704884820570065
5000,4.0,-0.0,0.26328293638420014,4862.772026935788,19.7064587661352,0.5000023111924778,41.50644868930323
5000,4.0,-0.5,0.2437792416578216,4862.718004950721,13.209599609050356,0.5000597241845441,25.753055640972974
5000,4.5,0.5,0.2921356412848971,4862.879973503046,19.99937927678954,0.5000000066410523,46.74025015604403
5000,4.5,-0.0,0.25264623220128857,4862.8140266589635,19.06214148631221,0.5000040605763434,38.52693546089767
5000,4.5,-0.5,0.24372202832567738,4862.747984992108,11.913254251012395,0.5000744535130719,23.218341254552744
5000,5.0,0.5,0.27470684661509115,4863.209994260513,19.4200353355009,0.5000385689499355,42.66916718050788
5000,5.0,-0.0,0.2335927857030851,4862.861983353551,19.274677045164484,0.500000000814053,36.019403869184394
5000,5.0,-0.5,0.22280283210749718,4862.759983673512,12.357805643754487,0.5000000137580054,22.02683104382789
5250,3.5,0.5,0.3493946496183348,4862.765995484362,15.033668368023857,0.5000000377489872,42.021457307725356
5250,3.5,-0.0,0.35536814108253734,4862.693996285764,9.346711536942774,0.5000353423301802,26.566844308353414
5250,3.5,-0.5,0.41470597481579735,4862.705982826238,4.3495136856669285,0.5000077206541249,14.429520477699324
5250,4.0,0.5,0.33862080071579953,4862.7839664935145,14.781603644807598,0.5000060874123814,40.04148048206809
5250,4.0,-0.0,0.34480161881623317,4862.760012688393,9.430526151468248,0.5000059428405419,26.012405684021168
5250,4.0,-0.5,0.38807491886474044,4862.711972466199,4.519338023896407,0.500011121826094,14.029845858353058
5250,4.5,0.5,0.32641366166547536,4862.807996231321,14.965105059039441,0.5000151408907572,39.075150821193226
5250,4.5,-0.0,0.3319447738816575,4862.766010044475,9.614746271858806,0.5000518726180468,25.524982629136566
5250,4.5,-0.5,0.3780647638884271,4862.699982321493,4.478292025618194,0.5000018646992326,13.544531600054908
5250,5.0,0.5,0.32471478000614395,4862.861987338679,13.713877677546579,0.5005677738013078,35.51000572545076
5250,5.0,-0.0,0.3328506990406019,4862.759968596186,8.947803499686774,0.5000002178488945,23.82623165803327
5250,5.0,-0.5,0.3712728578360158,4862.723984195641,4.3548063181193575,0.5000947226253943,12.927601668188002
5500,3.5,0.5,0.4068295851217447,4862.693988300554,10.440334419970783,0.5000032581982168,33.9788652984318
5500,3.5,-0.0,0.4339649832628052,4862.729992896166,6.2642744867882625,0.5000000000460653,21.747806176800005
5500,3.5,-0.5,0.5566519373355701,4862.7000010631555,2.5986099370344946,0.5000000000134075,11.572170045754719
5500,4.0,0.5,0.3967845978154471,4862.74797658121,10.281991025554039,0.5000000398166051,32.6378779947309
5500,4.0,-0.0,0.4212118095007539,4862.723993369247,6.297624937987099,0.5000003023267777,21.221035452928497
5500,4.0,-0.5,0.5331472785259942,4862.687995048558,2.516534282448985,0.5000000000129182,10.733467231251218
5500,4.5,0.5,0.3820370528015813,4862.771998920495,10.448952964103313,0.5000065733995984,31.933902905969997
5500,4.5,-0.0,0.40971184896108365,4862.735973134327,6.360145243860007,0.5001730054705739,20.82610732316284
5500,4.5,-0.5,0.5143555014393988,4862.699960076393,2.573734724607424,0.5000000463016734,10.59051412808175
5500,5.0,0.5,0.3822167771485918,4862.801985842691,9.813738705094085,0.5000001035954678,30.007786945242433
5500,5.0,-0.0,0.4074316916187019,4862.71797925958,6.171630611267487,0.5000042798490266,20.115653237447752
5500,5.0,-0.5,0.50677713303274,4862.705979238358,2.571622966747157,0.500021598082674,10.424636325023483
5750,3.5,0.5,0.5389898144828605,4862.735970646218,5.66856104899715,0.5000000000958361,24.44237333213867
5750,3.5,-0.0,0.5983214252814989,4862.711987420551,3.6712832645943596,0.5000001836486184,17.572841117273786
5750,3.5,-0.5,0.7262936434989318,4862.687985277776,1.906919313605501,0.5000007963010821,11.079816796905007
5750,4.0,0.5,0.5212555949492838,4862.754010660015,5.751948602565443,0.5000023979670831,23.985555792362035
