# Wavelength_Angstrom  Normalized_Flux
4.800000011199999790e+03 9.498611688613891602e-01
4.800050011200700283e+03 9.939038157463073730e-01
4.800100011201399866e+03 1.009419083595275879e+00
4.800150011202100359e+03 1.003699302673339844e+00
4.800200011202799942e+03 9.947403073310852051e-01
4.800250011203499525e+03 9.704630374908447266e-01
4.800300011204200018e+03 9.136350154876708984e-01
4.800350011204899602e+03 8.169140219688415527e-01
4.800400011205600094e+03 6.895204782485961914e-01
4.800450011206299678e+03 6.378154754638671875e-01
4.800500011207000171e+03 7.349984049797058105e-01
4.800550011207699754e+03 8.793099522590637207e-01
4.800600011208400247e+03 9.722107648849487305e-01
4.800650011209099830e+03 9.940065741539001465e-01
4.800700011209800323e+03 9.590353965759277344e-01
4.800750011210499906e+03 8.571488857269287109e-01
4.800800011211200399e+03 7.319671511650085449e-01
4.800850011211899982e+03 7.234324812889099121e-01
4.800900011212599566e+03 8.397598862648010254e-01
4.800950011213300058e+03 9.447641968727111816e-01
4.801000011213999642e+03 9.887847304344177246e-01
4.801050011214700135e+03 9.961238503456115723e-01
4.801100011215399718e+03 9.921187162399291992e-01
4.801150011216100211e+03 1.003602504730224609e+00
4.801200011216799794e+03 1.000972270965576172e+00
4.801250011217500287e+03 9.993847608566284180e-01
4.801300011218199870e+03 9.875732660293579102e-01
4.801350011218900363e+03 9.784798026084899902e-01
4.801400011219599946e+03 9.710522294044494629e-01
4.801450011220300439e+03 9.758652448654174805e-01
4.801500011221000022e+03 9.926084280014038086e-01
4.801550011221699606e+03 1.009271740913391113e+00
4.801600011222400099e+03 1.004175186157226562e+00
4.801650011223099682e+03 9.996994137763977051e-01
4.801700011223800175e+03 9.951955080032348633e-01
4.801750011224499758e+03 9.925732612609863281e-01
4.801800011225200251e+03 9.982151389122009277e-01
4.801850011225899834e+03 1.000884652137756348e+00
4.801900011226600327e+03 1.001910209655761719e+00
4.801950011227299910e+03 1.007321953773498535e+00
4.802000011227999494e+03 1.009447216987609863e+00
